city,province,lease_term,type,price,beds,baths,sq_feet (don’t use),sq_feet,furnishing,Pets
Abbotsford,British Columbia,Long Term,Apartment,3030,3,2,1066,1066,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,2100,1,1,727,727,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,2100,2,1,765,765,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,2010,2,2,910,910,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Condo Unit,1850,1,1,659,659,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,1850,2,1,846,846,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1775,2,1,900,900,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1750,2,1,903,903,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1750,2,1,930,930,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1725,2,1,880,880,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1725,2,1,950,950,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1675,1,1,538,538,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,1675,2,1,900,900,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1650,1,1,538,538,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,1625,1,1,846,846,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1600,1,1,533,533,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1600,1,1,538,538,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,1575,2,1,544,544,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1550,1,1,675,675,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1550,1,1,700,700,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1525,1,1,650,650,FALSE,FALSE
Abbotsford,British Columbia,Long Term,Apartment,1500,1,1,740,740,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1475,1,1,746,746,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1450,1,1,680,680,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1450,1,1,685,685,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1375,1,1,543,543,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1225,1,1,430,430,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1225,1,1,450,450,FALSE,TRUE
Abbotsford,British Columbia,Long Term,Apartment,1200,1,1,666,666,FALSE,TRUE
Airdrie,Alberta,Short Term,House,5500,3,2.5,2200,2200,TRUE,FALSE
Airdrie,Alberta,Long Term,House,4000,4,4,2328,2328,FALSE,TRUE
Airdrie,Alberta,Long Term,House,3500,3,2.5,2088,2088,TRUE,FALSE
Airdrie,Alberta,Long Term,House,3500,5,3.5,2700,2700,FALSE,TRUE
Airdrie,Alberta,Long Term,House,3150,4,3.5,2193 + Walkout Basement,2193,FALSE,FALSE
Airdrie,Alberta,Long Term,House,3000,3,2.5,2000,2000,FALSE,FALSE
Airdrie,Alberta,Long Term,House,3000,4,2.5,2300,2300,FALSE,FALSE
Airdrie,Alberta,Long Term,House,2900,4,3,2500,2500,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2800,3,2.5,1726,1726,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2695,3,2.5,1496,1496,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2675,3,3,1650,1650,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2675,3,2.5,1704,1704,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2600,3,2.5,1515,1515,FALSE,FALSE
Airdrie,Alberta,Long Term,House,2600,3,2.5,1560+,1560,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2600,3,2.5,"1,600",1600,FALSE,TRUE
Airdrie,Alberta,Long Term,House,2500,3,2.5,1316,1316,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2500,3,2.5,1329,1329,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2500,3,2.5,1458,1458,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2500,3,2.5,"1,500+",1500,FALSE,TRUE
Airdrie,Alberta,Long Term,House,2500,3,2.5,1800,1800,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2495,2,2.5,1351,1351,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2495,2,2.5,1403,1403,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2475,2,2.5,1382,1382,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2400,3,2.5,1341,1341,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2400,3,2.5,1400,1400,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2400,2,2.5,1470,1470,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2400,3,2.5,1500,1500,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2400,2,2.5,1500,1500,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2395,3,1.5,1018,1018,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2350,2,1.5,1038,1038,FALSE,TRUE
Airdrie,Alberta,Short Term,Townhouse,2300,3,1.5,1086,1086,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2300,2,2.5,1250,1250,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2300,2,2.5,1265,1265,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2300,3,2.5,1600,1600,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2295,2,2.5,1180,1180,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2250,3,2.5,1400,1400,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,2225,2,2,886,886,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2200,3,1.5,1300,1300,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2200,3,2.5,1350,1350,FALSE,FALSE
Airdrie,Alberta,Long Term,Townhouse,2150,2,2.5,1265,1265,FALSE,FALSE
Airdrie,Alberta,Long Term,Apartment,2145,2,2,1056,1056,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,2138,2,2,974,974,FALSE,TRUE
Airdrie,Alberta,Long Term,House,2100,1,1,700 Sq. Ft.,700,FALSE,TRUE
Airdrie,Alberta,Long Term,Condo Unit,2095,2,2,960,960,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,2095,2,2.5,1403,1403,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,2090,2,2,971,971,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,2048,2,1,870,870,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,2000,1,1,602,602,FALSE,FALSE
Airdrie,Alberta,Long Term,Apartment,1960,2,2,984,984,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1955,2,2,906,906,FALSE,TRUE
Airdrie,Alberta,Long Term,Condo Unit,1950,2,1,677,677,FALSE,FALSE
Airdrie,Alberta,Long Term,Apartment,1950,2,2,983,983,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1910,2,2,939,939,FALSE,TRUE
Airdrie,Alberta,Long Term,Townhouse,1910,3,2,1100,1100,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1859,2,1,955,955,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1840,1,1,711,711,FALSE,TRUE
Airdrie,Alberta,Long Term,Apartment,1800,2,2,907,907,FALSE,FALSE
Airdrie,Alberta,Long Term,Apartment,1759,2,1,955,955,FALSE,TRUE
